time,x_pos,y_pos,velocity,rotation
2.07666,4.01349,-0.5,4,0
2.07967,4.02555,-0.5,4,0
2.08268,4.0376,-0.5,4,0
2.08569,4.04963,-0.5,4,0
2.0887,4.06165,-0.5,4,0
2.0917,4.07366,-0.5,4,0
2.0947,4.08565,-0.5,4,0
2.09769,4.09763,-0.5,4,0
2.10068,4.1096,-0.5,4,0
2.10367,4.12155,-0.5,4,0
2.10666,4.1335,-0.5,4,0
2.10964,4.14543,-0.5,4,0
2.11262,4.15735,-0.5,4,0
2.1156,4.16926,-0.5,4,0
2.11858,4.18117,-0.5,4,0
2.12155,4.19306,-0.5,4,0
2.12452,4.20494,-0.5,4,0
2.12749,4.21681,-0.5,4,0
2.13045,4.22868,-0.5,4,0
2.13342,4.24053,-0.5,4,0
2.13638,4.25238,-0.5,4,0
2.13934,4.26422,-0.5,4,0
2.1423,4.27606,-0.5,4,0
2.14525,4.28788,-0.5,4,0
2.14821,4.2997,-0.5,4,0
2.15116,4.31152,-0.5,4,0
2.15412,4.32333,-0.5,4,0
2.15707,4.33513,-0.5,4,0
2.16002,4.34693,-0.5,4,0
2.16296,4.35872,-0.5,4,0
2.16591,4.37051,-0.5,4,0
2.16886,4.38229,-0.5,4,0
2.1718,4.39407,-0.5,4,0
2.17475,4.40585,-0.5,4,0
2.17769,4.41763,-0.5,4,0
2.18063,4.4294,-0.5,4,0
2.18358,4.44117,-0.5,4,0
2.18652,4.45294,-0.5,4,0
2.18946,4.4647,-0.5,4,0
2.1924,4.47647,-0.5,4,0
2.19534,4.48823,-0.5,4,0
2.19828,4.5,-0.5,4,0
2.20372,4.52174,-0.49992,4,1.5708
2.20907,4.54316,-0.49968,4,1.5708
2.21435,4.56427,-0.499281,4,1.5708
2.21955,4.58506,-0.498721,4,1.5708
2.22468,4.60554,-0.498002,4,1.5708
2.22972,4.62572,-0.497123,4,1.5708
2.2347,4.64559,-0.496084,4,1.5708
2.2396,4.66515,-0.494885,4,1.5708
2.24443,4.68442,-0.493527,4,1.5708
2.24918,4.70338,-0.492008,4,1.5708
2.25387,4.72205,-0.49033,4,1.5708
2.25849,4.74043,-0.488492,4,1.5708
2.26304,4.75851,-0.486494,4,1.5708
2.26752,4.77631,-0.484336,4,1.5708
2.27193,4.79382,-0.482018,4,1.5708
2.27628,4.81104,-0.479541,4,1.5708
2.28057,4.82798,-0.476903,4,1.5708
2.28479,4.84464,-0.474106,4,1.5708
2.28895,4.86102,-0.471149,4,1.5708
2.29306,4.87713,-0.468032,4,1.5708
2.2971,4.89297,-0.464756,4,1.5708
2.30108,4.90853,-0.461319,4,1.5708
2.30501,4.92383,-0.457723,4,1.5708
2.30888,4.93886,-0.453967,4,1.5708
2.3127,4.95362,-0.450051,4,1.5708
2.31647,4.96813,-0.445975,4,1.5708
2.32019,4.98237,-0.441739,4,1.5708
2.32385,4.99636,-0.437344,4,1.5708
2.32747,5.0101,-0.432788,4,1.5708
2.33104,5.02358,-0.428073,4,1.5708
2.33457,5.03681,-0.423198,4,1.5708
2.33805,5.0498,-0.418163,4,1.5708
2.34149,5.06254,-0.412968,4,1.5708
2.34489,5.07504,-0.407614,4,1.5708
2.34825,5.0873,-0.402099,4,1.5708
2.35157,5.09932,-0.396425,4,1.5708
2.35486,5.1111,-0.390591,4,1.5708
2.35811,5.12265,-0.384597,4,1.5708
2.36133,5.13397,-0.378443,4,1.5708
2.36452,5.14506,-0.37213,4,1.5708
2.36768,5.15593,-0.365656,4,1.5708
2.37082,5.16657,-0.359023,4,1.5708
2.37393,5.17699,-0.35223,4,1.5708
2.37701,5.18719,-0.345277,4,1.5708
2.38008,5.19717,-0.338164,4,1.5708
2.38312,5.20694,-0.330891,4,1.5708
2.38615,5.21649,-0.323459,4,1.5708
2.38916,5.22584,-0.315867,4,1.5708
2.39216,5.23498,-0.308114,4,1.5708
2.39514,5.24391,-0.300202,4,1.5708
2.39811,5.25264,-0.292131,4,1.5708
2.40107,5.26117,-0.283899,4,1.5708
2.40403,5.2695,-0.275507,4,1.5708
2.40698,5.27763,-0.266956,4,1.5708
2.40993,5.28557,-0.258245,4,1.5708
2.41287,5.29332,-0.249374,4,1.5708
2.41582,5.30088,-0.240343,4,1.5708
2.41876,5.30826,-0.231152,4,1.5708
2.42171,5.31545,-0.221802,4,1.5708
2.42467,5.32246,-0.212292,4,1.5708
2.42762,5.32928,-0.202621,4,1.5708
2.43059,5.33593,-0.192791,4,1.5708
2.43357,5.34241,-0.182801,4,1.5708
2.43656,5.34871,-0.172652,4,1.5708
2.43955,5.35485,-0.162342,4,1.5708
2.44257,5.36081,-0.151873,4,1.5708
2.44559,5.36661,-0.141244,4,1.5708
2.44864,5.37224,-0.130454,4,1.5708
2.4517,5.37772,-0.119506,4,1.5708
2.45478,5.38303,-0.108397,4,1.5708
2.45787,5.38819,-0.0971282,4,1.5708
2.46099,5.3932,-0.0856998,4,1.5708
2.46413,5.39805,-0.0741116,4,1.5708
2.4673,5.40276,-0.0623635,4,1.5708
2.47049,5.40732,-0.0504556,4,1.5708
2.4737,5.41173,-0.0383877,4,1.5708
2.47694,5.416,-0.0261602,4,1.5708
2.4802,5.42013,-0.0137727,4,1.5708
2.48349,5.42412,-0.00122544,4,1.5708
2.48681,5.42798,0.0114816,4,1.5708
2.49016,5.4317,0.0243487,4,1.5708
2.49354,5.4353,0.0373754,4,1.5708
2.49695,5.43876,0.0505621,4,1.5708
2.50039,5.4421,0.0639086,4,1.5708
2.50386,5.44532,0.0774149,4,1.5708
2.50736,5.44841,0.091081,4,1.5708
2.5109,5.45139,0.104907,4,1.5708
2.51447,5.45425,0.118893,4,1.5708
2.51807,5.45699,0.133038,4,1.5708
2.5217,5.45962,0.147344,4,1.5708
2.52537,5.46215,0.161809,4,1.5708
2.52908,5.46456,0.176435,4,1.5708
