time,x_pos,y_pos,velocity,rotation
1.08268,1.49877,-1.01214e-08,2,1.5708
1.09249,1.5184,-1.01758e-08,2,1.5708
1.10233,1.53807,-1.02272e-08,2,1.5708
1.11218,1.55777,-1.02756e-08,2,1.5708
1.12204,1.57749,-1.03208e-08,2,1.5708
1.13191,1.59724,-1.03629e-08,2,1.5708
1.1418,1.61702,-1.04018e-08,2,1.5708
1.1517,1.63681,-1.04374e-08,2,1.5708
1.16161,1.65663,-1.04696e-08,2,1.5708
1.17152,1.67646,-1.04985e-08,2,1.5708
1.18145,1.69631,-1.05238e-08,2,1.5708
1.19138,1.71617,-1.05457e-08,2,1.5708
1.20131,1.73604,-1.05639e-08,2,1.5708
1.21125,1.75592,-1.05785e-08,2,1.5708
1.22119,1.7758,-1.05893e-08,2,1.5708
1.23114,1.7957,-1.05964e-08,2,1.5708
1.24109,1.81559,-1.05997e-08,2,1.5708
1.25104,1.83549,-1.0599e-08,2,1.5708
1.26098,1.85538,-1.05944e-08,2,1.5708
1.27093,1.87527,-1.05858e-08,2,1.5708
1.28087,1.89515,-1.0573e-08,2,1.5708
1.29081,1.91503,-1.05561e-08,2,1.5708
1.30074,1.9349,-1.0535e-08,2,1.5708
1.31067,1.95476,-1.05097e-08,2,1.5708
1.32059,1.9746,-1.048e-08,2,1.5708
1.3305,1.99442,-1.04459e-08,2,1.5708
1.34041,2.01423,-1.04073e-08,2,1.5708
1.3503,2.03402,-1.03643e-08,2,1.5708
1.36019,2.05379,-1.03166e-08,2,1.5708
1.37006,2.07353,-1.02643e-08,2,1.5708
1.37992,2.09325,-1.02074e-08,2,1.5708
1.38976,2.11293,-1.01456e-08,2,1.5708
1.39959,2.13259,-1.0079e-08,2,1.5708
1.4094,2.15222,-1.00076e-08,2,1.5708
1.4192,2.17181,-9.93114e-09,2,1.5708
1.42897,2.19136,-9.84971e-09,2,1.5708
1.43873,2.21088,-9.76321e-09,2,1.5708
1.44847,2.23035,-9.67157e-09,2,1.5708
1.45818,2.24978,-9.57474e-09,2,1.5708
1.46788,2.26917,-9.47265e-09,2,1.5708
1.47755,2.28851,-9.36524e-09,2,1.5708
1.48719,2.3078,-9.25245e-09,2,1.5708
1.49681,2.32704,-9.13422e-09,2,1.5708
1.50648,2.34623,-9.01049e-09,1.97101,1.5708
1.51626,2.36536,-8.88119e-09,1.94167,1.5708
1.52616,2.38444,-8.74626e-09,1.91197,1.5708
1.53618,2.40346,-8.60565e-09,1.8819,1.5708
1.54634,2.42241,-8.45928e-09,1.85143,1.5708
1.55663,2.4413,-8.3071e-09,1.82056,1.5708
1.56706,2.46013,-8.14905e-09,1.78927,1.5708
1.57763,2.47889,-7.98506e-09,1.75754,1.5708
1.58837,2.49758,-7.81508e-09,1.72534,1.5708
