time,x_pos,y_pos,velocity,rotation
7.51553,5.5,8.08959,2,1.5708
7.52263,5.5,8.10379,2,1.5708
7.52969,5.5,8.11792,2,1.5708
7.53672,5.5,8.13197,2,1.5708
7.5437,5.5,8.14594,2,1.5708
7.55065,5.5,8.15984,2,1.5708
7.55756,5.5,8.17366,2,1.5708
7.56443,5.5,8.1874,2,1.5708
7.57126,5.5,8.20106,2,1.5708
7.57806,5.5,8.21464,2,1.5708
7.58481,5.5,8.22815,2,1.5708
7.59152,5.5,8.24157,2,1.5708
7.59819,5.5,8.25491,2,1.5708
7.60482,5.5,8.26818,2,1.5708
7.61141,5.5,8.28136,2,1.5708
7.61796,5.5,8.29446,2,1.5708
7.62447,5.5,8.30748,2,1.5708
7.63094,5.5,8.32042,2,1.5708
7.63737,5.5,8.33327,2,1.5708
7.64375,5.5,8.34604,2,1.5708
7.6501,5.5,8.35872,2,1.5708
7.6564,5.5,8.37133,2,1.5708
7.66266,5.5,8.38384,2,1.5708
7.66887,5.5,8.39627,2,1.5708
7.67504,5.5,8.40862,2,1.5708
7.68117,5.5,8.42088,2,1.5708
7.68726,5.5,8.43305,2,1.5708
7.6933,5.5,8.44514,2,1.5708
7.6993,5.5,8.45714,2,1.5708
7.70526,5.5,8.46905,2,1.5708
7.71117,5.5,8.48087,2,1.5708
7.71704,5.5,8.4926,2,1.5708
7.72286,5.5,8.50425,2,1.5708
7.72864,5.5,8.5158,2,1.5708
7.73437,5.5,8.52727,2,1.5708
7.74006,5.5,8.53864,2,1.5708
7.7457,5.5,8.54992,2,1.5708
7.75129,5.5,8.56112,2,1.5708
7.75684,5.5,8.57221,2,1.5708
7.76235,5.5,8.58322,2,1.5708
7.7678,5.5,8.59414,2,1.5708
7.77321,5.5,8.60496,2,1.5708
7.77858,5.5,8.61568,2,1.5708
7.78389,5.5,8.62632,2,1.5708
7.78916,5.5,8.63685,2,1.5708
7.79438,5.5,8.6473,2,1.5708
7.79956,5.5,8.65765,2,1.5708
7.80468,5.5,8.6679,2,1.5708
7.80976,5.5,8.67805,2,1.5708
7.81479,5.5,8.68811,2,1.5708
7.81977,5.5,8.69807,2,1.5708
7.8247,5.5,8.70793,2,1.5708
7.82958,5.5,8.7177,2,1.5708
7.83442,5.5,8.72736,2,1.5708
7.8392,5.5,8.73693,2,1.5708
7.84393,5.5,8.7464,2,1.5708
7.84862,5.5,8.75577,2,1.5708
7.85325,5.5,8.76503,2,1.5708
7.85783,5.5,8.7742,2,1.5708
7.86237,5.5,8.78326,2,1.5708
7.86685,5.5,8.79222,2,1.5708
7.87128,5.5,8.80109,2,1.5708
7.87566,5.5,8.80984,2,1.5708
7.87998,5.5,8.8185,2,1.5708
7.88426,5.5,8.82705,2,1.5708
7.88848,5.5,8.83549,2,1.5708
7.89265,5.5,8.84384,2,1.5708
7.89677,5.5,8.85207,2,1.5708
7.90084,5.5,8.8602,2,1.5708
7.90485,5.5,8.86823,2,1.5708
7.90881,5.5,8.87615,2,1.5708
7.91272,5.5,8.88396,2,1.5708
7.91657,5.5,8.89167,2,1.5708
7.92037,5.5,8.89927,2,1.5708
7.92411,5.5,8.90675,2,1.5708
